strain	name	date	region	country	host	passage_type	sra_accession	abbr_authors	authors	institution
KT253280.1	BtCoV/BUO2E-F101/Hip_aba/GHA/2011	2011-XX-XX	Africa	Ghana	Hipposideros abae			Corman et al	Corman,V.M.,Baldwin,H.J.,Fumie Tateno,A.,Melim Zerbinati,R.,Annan,A.,Owusu,M.,Nkrumah,E.E.,Maganga,G.D.,Oppong,S.,Adu-Sarkodie,Y.,Vallo,P.,da Silva Filho,L.V.,Leroy,E.M.,Thiel,V.,van der Hoek,L.,Poon,L.L.,Tschapka,M.,Drosten,C.,Drexler,J.F.	University of Bonn Medical Centre, Institute of Virology
KT253279.1	BtCoV/BUO2B-F210/Hip_cf._rub/GHA/2011	2011-XX-XX	Africa	Ghana	Hipposideros cf. ruber			Corman et al	Corman,V.M.,Baldwin,H.J.,Fumie Tateno,A.,Melim Zerbinati,R.,Annan,A.,Owusu,M.,Nkrumah,E.E.,Maganga,G.D.,Oppong,S.,Adu-Sarkodie,Y.,Vallo,P.,da Silva Filho,L.V.,Leroy,E.M.,Thiel,V.,van der Hoek,L.,Poon,L.L.,Tschapka,M.,Drosten,C.,Drexler,J.F.	University of Bonn Medical Centre, Institute of Virology
KT253278.1	BtCoV/BUO2A-F23/Hip_cf._rub/GHA/2010	2010-XX-XX	Africa	Ghana	Hipposideros cf. ruber			Corman et al	Corman,V.M.,Baldwin,H.J.,Fumie Tateno,A.,Melim Zerbinati,R.,Annan,A.,Owusu,M.,Nkrumah,E.E.,Maganga,G.D.,Oppong,S.,Adu-Sarkodie,Y.,Vallo,P.,da Silva Filho,L.V.,Leroy,E.M.,Thiel,V.,van der Hoek,L.,Poon,L.L.,Tschapka,M.,Drosten,C.,Drexler,J.F.	University of Bonn Medical Centre, Institute of Virology
KT253277.1	BtCoV/BUO2A-F15/Hip_cf._rub/GHA/2010	2010-XX-XX	Africa	Ghana	Hipposideros cf. ruber			Corman et al	Corman,V.M.,Baldwin,H.J.,Fumie Tateno,A.,Melim Zerbinati,R.,Annan,A.,Owusu,M.,Nkrumah,E.E.,Maganga,G.D.,Oppong,S.,Adu-Sarkodie,Y.,Vallo,P.,da Silva Filho,L.V.,Leroy,E.M.,Thiel,V.,van der Hoek,L.,Poon,L.L.,Tschapka,M.,Drosten,C.,Drexler,J.F.	University of Bonn Medical Centre, Institute of Virology
KT253276.1	BtCoV/BUO1E-F82/Hip_cf._rub/GHA/2011	2011-XX-XX	Africa	Ghana	Hipposideros cf. ruber			Corman et al	Corman,V.M.,Baldwin,H.J.,Fumie Tateno,A.,Melim Zerbinati,R.,Annan,A.,Owusu,M.,Nkrumah,E.E.,Maganga,G.D.,Oppong,S.,Adu-Sarkodie,Y.,Vallo,P.,da Silva Filho,L.V.,Leroy,E.M.,Thiel,V.,van der Hoek,L.,Poon,L.L.,Tschapka,M.,Drosten,C.,Drexler,J.F.	University of Bonn Medical Centre, Institute of Virology
KT253275.1	BtCoV/BUO1E-F102/Hip_cf._rub/GHA/2011	2011-XX-XX	Africa	Ghana	Hipposideros cf. ruber			Corman et al	Corman,V.M.,Baldwin,H.J.,Fumie Tateno,A.,Melim Zerbinati,R.,Annan,A.,Owusu,M.,Nkrumah,E.E.,Maganga,G.D.,Oppong,S.,Adu-Sarkodie,Y.,Vallo,P.,da Silva Filho,L.V.,Leroy,E.M.,Thiel,V.,van der Hoek,L.,Poon,L.L.,Tschapka,M.,Drosten,C.,Drexler,J.F.	University of Bonn Medical Centre, Institute of Virology
KT253274.1	BtCoV/AT1A-F63/Hip_aba/GHA/2010	2010-XX-XX	Africa	Ghana	Hipposideros abae			Corman et al	Corman,V.M.,Baldwin,H.J.,Fumie Tateno,A.,Melim Zerbinati,R.,Annan,A.,Owusu,M.,Nkrumah,E.E.,Maganga,G.D.,Oppong,S.,Adu-Sarkodie,Y.,Vallo,P.,da Silva Filho,L.V.,Leroy,E.M.,Thiel,V.,van der Hoek,L.,Poon,L.L.,Tschapka,M.,Drosten,C.,Drexler,J.F.	University of Bonn Medical Centre, Institute of Virology
KT253273.1	BtCoV/AT1A-F26/Hip_cf._rub/GHA/2010	2010-XX-XX	Africa	Ghana	Hipposideros cf. ruber			Corman et al	Corman,V.M.,Baldwin,H.J.,Fumie Tateno,A.,Melim Zerbinati,R.,Annan,A.,Owusu,M.,Nkrumah,E.E.,Maganga,G.D.,Oppong,S.,Adu-Sarkodie,Y.,Vallo,P.,da Silva Filho,L.V.,Leroy,E.M.,Thiel,V.,van der Hoek,L.,Poon,L.L.,Tschapka,M.,Drosten,C.,Drexler,J.F.	University of Bonn Medical Centre, Institute of Virology
KT253272.1	BtCoV/AT1A-F1/Hip_aba/GHA/2010	2010-XX-XX	Africa	Ghana	Hipposideros abae			Corman et al	Corman,V.M.,Baldwin,H.J.,Fumie Tateno,A.,Melim Zerbinati,R.,Annan,A.,Owusu,M.,Nkrumah,E.E.,Maganga,G.D.,Oppong,S.,Adu-Sarkodie,Y.,Vallo,P.,da Silva Filho,L.V.,Leroy,E.M.,Thiel,V.,van der Hoek,L.,Poon,L.L.,Tschapka,M.,Drosten,C.,Drexler,J.F.	University of Bonn Medical Centre, Institute of Virology
KT253271.1	BtCoV/KW2E-F56/Hip_cf._rub/GHA/2011	2011-XX-XX	Africa	Ghana	Hipposideros cf. ruber			Corman et al	Corman,V.M.,Baldwin,H.J.,Fumie Tateno,A.,Melim Zerbinati,R.,Annan,A.,Owusu,M.,Nkrumah,E.E.,Maganga,G.D.,Oppong,S.,Adu-Sarkodie,Y.,Vallo,P.,da Silva Filho,L.V.,Leroy,E.M.,Thiel,V.,van der Hoek,L.,Poon,L.L.,Tschapka,M.,Drosten,C.,Drexler,J.F.	University of Bonn Medical Centre, Institute of Virology
KT253270.1	BtCoV/FO1A-F2/Hip_aba/GHA/2010	2010-XX-XX	Africa	Ghana	Hipposideros abae			Corman et al	Corman,V.M.,Baldwin,H.J.,Fumie Tateno,A.,Melim Zerbinati,R.,Annan,A.,Owusu,M.,Nkrumah,E.E.,Maganga,G.D.,Oppong,S.,Adu-Sarkodie,Y.,Vallo,P.,da Silva Filho,L.V.,Leroy,E.M.,Thiel,V.,van der Hoek,L.,Poon,L.L.,Tschapka,M.,Drosten,C.,Drexler,J.F.	University of Bonn Medical Centre, Institute of Virology
KT253269.1	BtCoV/KW2E-F151/Hip_cf._rub/GHA/2011	2011-XX-XX	Africa	Ghana	Hipposideros cf. ruber			Corman et al	Corman,V.M.,Baldwin,H.J.,Fumie Tateno,A.,Melim Zerbinati,R.,Annan,A.,Owusu,M.,Nkrumah,E.E.,Maganga,G.D.,Oppong,S.,Adu-Sarkodie,Y.,Vallo,P.,da Silva Filho,L.V.,Leroy,E.M.,Thiel,V.,van der Hoek,L.,Poon,L.L.,Tschapka,M.,Drosten,C.,Drexler,J.F.	University of Bonn Medical Centre, Institute of Virology
KT253268.1	BtCoV/KW2E-F73/Hip_cf._rub/GHA/2011	2011-XX-XX	Africa	Ghana	Hipposideros cf. ruber			Corman et al	Corman,V.M.,Baldwin,H.J.,Fumie Tateno,A.,Melim Zerbinati,R.,Annan,A.,Owusu,M.,Nkrumah,E.E.,Maganga,G.D.,Oppong,S.,Adu-Sarkodie,Y.,Vallo,P.,da Silva Filho,L.V.,Leroy,E.M.,Thiel,V.,van der Hoek,L.,Poon,L.L.,Tschapka,M.,Drosten,C.,Drexler,J.F.	University of Bonn Medical Centre, Institute of Virology
KT253267.1	BtCoV/FO1E-F67/Hip_cf._rub/GHA/2011	2011-XX-XX	Africa	Ghana	Hipposideros cf. ruber			Corman et al	Corman,V.M.,Baldwin,H.J.,Fumie Tateno,A.,Melim Zerbinati,R.,Annan,A.,Owusu,M.,Nkrumah,E.E.,Maganga,G.D.,Oppong,S.,Adu-Sarkodie,Y.,Vallo,P.,da Silva Filho,L.V.,Leroy,E.M.,Thiel,V.,van der Hoek,L.,Poon,L.L.,Tschapka,M.,Drosten,C.,Drexler,J.F.	University of Bonn Medical Centre, Institute of Virology
KT253266.1	BtCoV/BUO2A-75/Hip_aba/GHA/2010	2010-XX-XX	Africa	Ghana	Hipposideros abae			Corman et al	Corman,V.M.,Baldwin,H.J.,Fumie Tateno,A.,Melim Zerbinati,R.,Annan,A.,Owusu,M.,Nkrumah,E.E.,Maganga,G.D.,Oppong,S.,Adu-Sarkodie,Y.,Vallo,P.,da Silva Filho,L.V.,Leroy,E.M.,Thiel,V.,van der Hoek,L.,Poon,L.L.,Tschapka,M.,Drosten,C.,Drexler,J.F.	University of Bonn Medical Centre, Institute of Virology
KT253265.1	BtCoV/KW1E-F12/Hip_cf._rub/GHA/2011	2011-XX-XX	Africa	Ghana	Hipposideros cf. ruber			Corman et al	Corman,V.M.,Baldwin,H.J.,Fumie Tateno,A.,Melim Zerbinati,R.,Annan,A.,Owusu,M.,Nkrumah,E.E.,Maganga,G.D.,Oppong,S.,Adu-Sarkodie,Y.,Vallo,P.,da Silva Filho,L.V.,Leroy,E.M.,Thiel,V.,van der Hoek,L.,Poon,L.L.,Tschapka,M.,Drosten,C.,Drexler,J.F.	University of Bonn Medical Centre, Institute of Virology
KT253264.1	BtCoV/KW1C-F161/Hip_cf._rub/GHA/2010	2010-XX-XX	Africa	Ghana	Hipposideros cf. ruber			Corman et al	Corman,V.M.,Baldwin,H.J.,Fumie Tateno,A.,Melim Zerbinati,R.,Annan,A.,Owusu,M.,Nkrumah,E.E.,Maganga,G.D.,Oppong,S.,Adu-Sarkodie,Y.,Vallo,P.,da Silva Filho,L.V.,Leroy,E.M.,Thiel,V.,van der Hoek,L.,Poon,L.L.,Tschapka,M.,Drosten,C.,Drexler,J.F.	University of Bonn Medical Centre, Institute of Virology
KT253263.1	BtCoV/FO1E-F66/Hip_cf._rub/GHA/2011	2011-XX-XX	Africa	Ghana	Hipposideros cf. ruber			Corman et al	Corman,V.M.,Baldwin,H.J.,Fumie Tateno,A.,Melim Zerbinati,R.,Annan,A.,Owusu,M.,Nkrumah,E.E.,Maganga,G.D.,Oppong,S.,Adu-Sarkodie,Y.,Vallo,P.,da Silva Filho,L.V.,Leroy,E.M.,Thiel,V.,van der Hoek,L.,Poon,L.L.,Tschapka,M.,Drosten,C.,Drexler,J.F.	University of Bonn Medical Centre, Institute of Virology
KT253262.1	BtCoV/BUO2E-F58/Hip_cf._rub/GHA/2011	2011-XX-XX	Africa	Ghana	Hipposideros cf. ruber			Corman et al	Corman,V.M.,Baldwin,H.J.,Fumie Tateno,A.,Melim Zerbinati,R.,Annan,A.,Owusu,M.,Nkrumah,E.E.,Maganga,G.D.,Oppong,S.,Adu-Sarkodie,Y.,Vallo,P.,da Silva Filho,L.V.,Leroy,E.M.,Thiel,V.,van der Hoek,L.,Poon,L.L.,Tschapka,M.,Drosten,C.,Drexler,J.F.	University of Bonn Medical Centre, Institute of Virology
KT253261.1	BtCoV/FO-A-42/Hip_aba/GHA/2010	2010-XX-XX	Africa	Ghana	Hipposideros abae			Corman et al	Corman,V.M.,Baldwin,H.J.,Fumie Tateno,A.,Melim Zerbinati,R.,Annan,A.,Owusu,M.,Nkrumah,E.E.,Maganga,G.D.,Oppong,S.,Adu-Sarkodie,Y.,Vallo,P.,da Silva Filho,L.V.,Leroy,E.M.,Thiel,V.,van der Hoek,L.,Poon,L.L.,Tschapka,M.,Drosten,C.,Drexler,J.F.	University of Bonn Medical Centre, Institute of Virology
KT253260.1	BtCoV/AT1A-F41/Hip_aba/GHA/2010	2010-XX-XX	Africa	Ghana	Hipposideros abae			Corman et al	Corman,V.M.,Baldwin,H.J.,Fumie Tateno,A.,Melim Zerbinati,R.,Annan,A.,Owusu,M.,Nkrumah,E.E.,Maganga,G.D.,Oppong,S.,Adu-Sarkodie,Y.,Vallo,P.,da Silva Filho,L.V.,Leroy,E.M.,Thiel,V.,van der Hoek,L.,Poon,L.L.,Tschapka,M.,Drosten,C.,Drexler,J.F.	University of Bonn Medical Centre, Institute of Virology
KT253259.1	BtCoV/AT1A-F45/Hip_aba/GHA/2010	2010-XX-XX	Africa	Ghana	Hipposideros abae			Corman et al	Corman,V.M.,Baldwin,H.J.,Fumie Tateno,A.,Melim Zerbinati,R.,Annan,A.,Owusu,M.,Nkrumah,E.E.,Maganga,G.D.,Oppong,S.,Adu-Sarkodie,Y.,Vallo,P.,da Silva Filho,L.V.,Leroy,E.M.,Thiel,V.,van der Hoek,L.,Poon,L.L.,Tschapka,M.,Drosten,C.,Drexler,J.F.	University of Bonn Medical Centre, Institute of Virology
KP347631.1	sh2933							Zhao et al	Zhao,Y.,Lu,R.,Tan,W.	National Institute for Viral Disease Control and Prevention, China CDC, Biotech Center for Viral Disease Emergency
KP347630.1	sh2922							Zhao et al	Zhao,Y.,Lu,R.,Tan,W.	National Institute for Viral Disease Control and Prevention, China CDC, Biotech Center for Viral Disease Emergency
KP112149.1	HCOV/KENYA/009/2010	2014-07-01	Africa	Kenya	Homo sapiens			Sipulwa et al	Sipulwa,L.A.,Ongus,J.R.,Coldren,R.L.,Bulimo,W.D.,Opot,B.H.,Achilla,R.A.	United States Army Medical Research Unit-Kenya (USAMRU-K), DEID Program on Human Respiratory Viruses
KP112148.1	HCOV/KENYA/006/2009	2014-07-01	Africa	Kenya	Homo sapiens			Sipulwa et al	Sipulwa,L.A.,Ongus,J.R.,Coldren,R.L.,Bulimo,W.D.,Opot,B.H.,Achilla,R.A.	United States Army Medical Research Unit-Kenya (USAMRU-K), DEID Program on Human Respiratory Viruses
KP112147.1	HCOV/KENYA/002/2012	2014-07-01	Africa	Kenya	Homo sapiens			Sipulwa et al	Sipulwa,L.A.,Ongus,J.R.,Coldren,R.L.,Bulimo,W.D.,Opot,B.H.,Achilla,R.A.	United States Army Medical Research Unit-Kenya (USAMRU-K), DEID Program on Human Respiratory Viruses
KM676092.1	BJ298	2014-05-XX	Asia	China	Homo sapiens			Zhao et al	Zhao,Y.,Lu,R.,Li,Y.,Tan,W.	National Institute for Viral Disease Control and Prevention, China CDC, Biotech Center for Viral Disease Emergency
KM077071.1	TN93_3-50		North America	USA	Homo sapiens			Talbot et al	Talbot,K.B.,Podsiad,A.B.,Tollefson,S.J.,Crowe,J.E.,Edwards,K.M.,Williams,J.V.	Vanderbilt University School of Medicine, Pediatrics, Pathology, Microbiology, and Immunology
KM077070.1	TN93_3-40		North America	USA	Homo sapiens			Talbot et al	Talbot,K.B.,Podsiad,A.B.,Tollefson,S.J.,Crowe,J.E.,Edwards,K.M.,Williams,J.V.	Vanderbilt University School of Medicine, Pediatrics, Pathology, Microbiology, and Immunology
KM077069.1	TN95_2-39		North America	USA	Homo sapiens			Talbot et al	Talbot,K.B.,Podsiad,A.B.,Tollefson,S.J.,Crowe,J.E.,Edwards,K.M.,Williams,J.V.	Vanderbilt University School of Medicine, Pediatrics, Pathology, Microbiology, and Immunology
KM055590.1	11949_2011	2011-XX-XX	Asia	China	Homo sapiens			Zhang et al	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology
KM055589.1	8425_2009	2009-XX-XX	Asia	China	Homo sapiens			Zhang et al	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology
KM055588.1	8373_2009	2009-XX-XX	Asia	China	Homo sapiens			Zhang et al	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology
KM055587.1	8348_2009	2009-XX-XX	Asia	China	Homo sapiens			Zhang et al	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology
KM055586.1	8339_2009	2009-XX-XX	Asia	China	Homo sapiens			Zhang et al	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology
KM055585.1	857_2005	2005-XX-XX	Asia	China	Homo sapiens			Zhang et al	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology
KM055584.1	748_2005	2005-XX-XX	Asia	China	Homo sapiens			Zhang et al	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology
KM055583.1	693A_2008	2008-XX-XX	Asia	China	Homo sapiens			Zhang et al	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology
KM055582.1	507A_2008	2008-XX-XX	Asia	China	Homo sapiens			Zhang et al	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology
KM055581.1	494A_2008	2008-XX-XX	Asia	China	Homo sapiens			Zhang et al	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology
KM055580.1	423A_2007	2007-XX-XX	Asia	China	Homo sapiens			Zhang et al	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology
KM055579.1	359A_2007	2007-XX-XX	Asia	China	Homo sapiens			Zhang et al	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology
KM055578.1	2981A_2011	2011-XX-XX	Asia	China	Homo sapiens			Zhang et al	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology
KM055577.1	2961A_2011	2011-XX-XX	Asia	China	Homo sapiens			Zhang et al	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology
KM055576.1	2861A_2011	2011-XX-XX	Asia	China	Homo sapiens			Zhang et al	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology
KM055575.1	2764A_2011	2011-XX-XX	Asia	China	Homo sapiens			Zhang et al	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology
KM055574.1	1990A_2010	2010-XX-XX	Asia	China	Homo sapiens			Zhang et al	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology
KM055573.1	1829A_2010	2010-XX-XX	Asia	China	Homo sapiens			Zhang et al	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology
KM055572.1	1827A_2010	2010-XX-XX	Asia	China	Homo sapiens			Zhang et al	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology
KM055571.1	1782A_2010	2010-XX-XX	Asia	China	Homo sapiens			Zhang et al	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology
KM055570.1	1781A_2010	2010-XX-XX	Asia	China	Homo sapiens			Zhang et al	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology
KM055569.1	1761A_2010	2010-XX-XX	Asia	China	Homo sapiens			Zhang et al	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology
KM055568.1	1667A_2009	2009-XX-XX	Asia	China	Homo sapiens			Zhang et al	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology
KM055567.1	1658A_2009	2009-XX-XX	Asia	China	Homo sapiens			Zhang et al	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology
KM055566.1	1649A_2009	2009-XX-XX	Asia	China	Homo sapiens			Zhang et al	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology
KM055565.1	1546A_2009	2009-XX-XX	Asia	China	Homo sapiens			Zhang et al	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology
KM055564.1	1518A_2009	2009-XX-XX	Asia	China	Homo sapiens			Zhang et al	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology
KM055563.1	1512A_2009	2009-XX-XX	Asia	China	Homo sapiens			Zhang et al	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology
KM055562.1	1482A_2009	2009-XX-XX	Asia	China	Homo sapiens			Zhang et al	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology
KM055561.1	1424A_2009	2009-XX-XX	Asia	China	Homo sapiens			Zhang et al	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology
KM055560.1	1424A_2009	2009-XX-XX	Asia	China	Homo sapiens			Zhang et al	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology
KM055559.1	857_2005	2005-XX-XX	Asia	China	Homo sapiens			Zhang et al	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology
KM055558.1	8348_2009	2009-XX-XX	Asia	China	Homo sapiens			Zhang et al	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology
KM055557.1	748_2005	2005-XX-XX	Asia	China	Homo sapiens			Zhang et al	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology
KM055556.1	693A_2008	2008-XX-XX	Asia	China	Homo sapiens			Zhang et al	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology
KM055555.1	507A_2008	2008-XX-XX	Asia	China	Homo sapiens			Zhang et al	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology
KM055554.1	494A_2008	2008-XX-XX	Asia	China	Homo sapiens			Zhang et al	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology
KM055553.1	1482A_2009	2009-XX-XX	Asia	China	Homo sapiens			Zhang et al	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology
KM055552.1	423A_2007	2007-XX-XX	Asia	China	Homo sapiens			Zhang et al	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology
KM055551.1	359A_2007	2007-XX-XX	Asia	China	Homo sapiens			Zhang et al	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology
KM055550.1	2981A_2011	2011-XX-XX	Asia	China	Homo sapiens			Zhang et al	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology
KM055549.1	2961A_2011	2011-XX-XX	Asia	China	Homo sapiens			Zhang et al	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology
KM055548.1	2861A_2011	2011-XX-XX	Asia	China	Homo sapiens			Zhang et al	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology
KM055547.1	8425_2009	2009-XX-XX	Asia	China	Homo sapiens			Zhang et al	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology
KM055546.1	8373_2009	2009-XX-XX	Asia	China	Homo sapiens			Zhang et al	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology
KM055545.1	8339_2009	2009-XX-XX	Asia	China	Homo sapiens			Zhang et al	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology
KM055544.1	2764A_2011	2011-XX-XX	Asia	China	Homo sapiens			Zhang et al	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology
KM055543.1	1990A_2010	2010-XX-XX	Asia	China	Homo sapiens			Zhang et al	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology
KM055542.1	1829A_2010	2010-XX-XX	Asia	China	Homo sapiens			Zhang et al	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology
KM055541.1	1827A_2010	2010-XX-XX	Asia	China	Homo sapiens			Zhang et al	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology
